Unnamed: 0,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Sinhala,0.005302226935312832,0.0027264366693524104,0.0042522844719769665,0.00511770726714432,0.0033783167203143747,0.09763313609467456,0.005782087574534723,0.0,0.0,0.007633587786259542,0.0,0.005139041454659439,0.0,0.011777301927194861,0.007326007326007326,0.0037734880377862205,0.008174614208258029,0.001854140914709518,0.003477218225419664,0.0,0.0025463166213012555,0.08866680842015735,0.005021048798717269,0.005051664753157291,0.019704433497536946,0.010042624333814214,0.0032929782082324454,0.0051813471502590676,0.009501187648456057,0.0056022408963585435,0.0,0.05919661733615222,0.0,0.0,0.002286367533581023,0.018170619032953497
Sadri,0.017497348886532343,0.0028566545401274507,0.00015699923895284168,0.004025929716820198,0.001619197010200909,0.0,0.0010841414202252605,0.0,0.0,0.0,0.0,0.00016910168510516613,0.0,0.00035688793718772306,0.0,0.003465448197966937,2.7804810232170165e-05,0.020704573547589616,0.00866735183281946,0.0,0.002282904557028712,0.0,2.1293675991167383e-06,0.036969001148105626,0.0,3.852176576069894e-06,9.685230024213075e-05,0.0,0.0,0.00028011204481792715,0.0,0.0,0.0,0.0,0.0006532478667374352,0.004619648906683092
Wik-Mungkan,0.0023860021208907743,0.0003418219107844813,0.00044438767635804344,0.0012964858410098943,0.000417846964269762,0.0,0.0007227609468168403,0.0,0.0,0.0,0.0,0.00039044616723469253,0.0,0.0,0.0052328623757195184,0.0012321593592771332,0.0005282913944112331,0.0021631644004944375,0.00031688934566632406,0.0,0.0002634120642725437,0.00042526047203912394,6.388102797350214e-05,0.0006888633754305396,0.0,8.860006124960756e-05,9.685230024213075e-05,0.0,0.0,0.00028011204481792715,0.0,0.003171247357293869,0.0,0.0,0.0003266239333687176,0.0018478595626732369
Kurukh,0.018292682926829267,0.003450773575538573,0.00047898072900866956,0.005458887751620608,0.0014008279453488189,0.0,0.005962777811238933,0.0,0.0,0.0,0.0,0.00043993934336303384,0.0,0.0,0.012035583464154892,0.005493377143443885,0.0008619491171972751,0.019777503090234856,0.008650222678999658,0.0,0.003995082974800246,0.0,0.00010859774755495365,0.11641791044776119,0.0,6.356091350515324e-05,0.0001937046004842615,0.0,0.004750593824228029,0.00028011204481792715,0.0,0.017970401691331923,0.0,0.0,0.0002857959416976279,0.08068986757006467
Somali,0.003976670201484623,0.001351010409291045,0.0004364046642078989,0.002797679972705561,0.0009272680525097554,0.0,0.0012648316569294706,0.0,0.0,0.002544529262086514,0.0,0.00030933235080213316,0.0,0.0007137758743754461,0.0052328623757195184,0.005365027210185851,0.0006673154455720839,0.003399258343634116,0.001396026036313806,0.0,0.0013170603213627184,0.0012757814161173718,0.0007559254976864421,0.002296211251435132,0.0,0.0003370654504061157,0.0,0.0,0.0023752969121140144,0.0014005602240896359,0.0,0.004228329809725159,0.0,0.0,0.0004491079083819867,0.004927625500461965
Marathi,0.08563096500530222,0.016732996394592702,0.7981894528443473,0.07976799727055613,0.009920103177782197,0.03698224852071006,0.19887972053243388,0.0,0.004629629629629629,0.015267175572519083,0.058823529411764705,0.009714410625634991,0.005780346820809248,0.0032119914346895075,0.3783359497645212,0.019021460108840742,0.03433894063673015,0.03862793572311496,0.020092497430626927,0.12552301255230125,0.0280533848450259,0.014458856049330214,0.008862427947523864,0.049138920780711824,0.0,0.006558330620758994,0.009782082324455205,0.0,0.19714964370546317,0.01288515406162465,0.0,0.006342494714587738,0.0,0.004405286343612335,0.0065324786673743515,0.07545426547582383
Wolof,0.0029162248144220574,0.0006022576523345623,0.0007903182028643048,0.002183555100648243,0.0003720599022846463,0.0014792899408284023,0.0019273625248449075,0.0,0.0,0.005089058524173028,0.0,0.0005677967150279155,0.0,0.0,0.006802721088435374,0.0011808193859739193,0.001028777978590296,0.0021631644004944375,0.0007451181911613566,0.0,0.0007463341821055405,0.0019136721241760578,0.0003556043890524953,0.0027554535017221583,0.0,0.0005200438377694357,9.685230024213075e-05,0.0,0.004750593824228029,0.00028011204481792715,0.0,0.012684989429175475,0.0,0.0,0.0002449679500265382,0.0033877425315676007
Assamese,0.03340402969247084,0.014315827168331014,0.011051149819850026,0.053087683384510406,0.003280018622206469,0.0029585798816568047,0.012286936095886285,0.0,0.0787037037037037,0.027989821882951654,0.0,0.027993890342369047,0.0,0.0010706638115631692,0.03453689167974882,0.011602833966526338,0.004198526345057695,0.012978986402966625,0.019552929085303185,0.0,0.0042584950390727894,0.0008505209440782479,0.0007303730864970413,0.024799081515499425,0.0,0.0017970403727366054,0.0010653753026634383,0.0,0.007125890736342043,0.0,0.0,0.04439746300211417,0.0,0.00881057268722467,0.001510635691830319,0.0036957191253464737
Surgujia,0.019883351007423118,0.0022299810370225684,1.862702835033715e-05,0.00020470829068577277,0.0004425015361079012,0.0,0.00662530867915437,0.0,0.0,0.0,0.0,3.0245829856208574e-05,0.0,0.0,0.0,0.0024129787452510524,0.00011121924092868066,0.013288009888751545,0.006731757451181912,0.0,0.003073140749846343,0.0,0.0,0.01928817451205511,0.0,0.0,0.0,0.0,0.019002375296912115,0.0,0.0,0.0,0.0,0.0,0.0,0.0006159531875577456
Fiji Hindi,0.009809119830328738,0.006901547151077146,0.0006758950287122337,0.001842374616171955,0.008420656945080821,0.0,0.009998193097632958,0.0,0.0,0.0,0.0,9.898635225668261e-05,0.005780346820809248,0.006067094932191292,0.0,0.00687955642263066,0.0010843875990546364,0.03553770086526576,0.012341555327166838,0.0,0.006804811660374045,0.0,0.00010220964475760344,0.006888633754305396,0.0,9.630441440174735e-05,0.002808716707021792,0.0,0.0023752969121140144,0.0016806722689075631,0.0,0.0,0.0,0.0,0.011309353692891847,0.0009239297813366184
