,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Icelandic,0,7,18,1,224,0,0,0,0,1,0,30,0,0,3,7,3,0,13,0,1,1,25,1,0,48,0,0,0,0,0,0,0,0,3,0
Mewari,0,1,0,0,60,0,0,0,0,0,0,11,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berom,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yiddish,0,5,7,1,108,0,1,0,0,0,0,24,0,0,0,7,2,0,3,0,2,0,14,0,0,14,0,0,0,0,0,0,0,0,1,1
Avokaya,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunwar,0,4,17,0,17,0,0,0,0,0,0,11,0,0,0,0,4,0,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Galician,0,7,7,0,110,0,2,0,0,0,0,31,0,1,0,4,1,0,3,0,3,2,11,0,0,17,0,0,0,0,0,0,0,0,0,0
Balanta-Kentohe,0,5,14,1,57,0,2,0,0,0,0,11,0,0,0,2,2,0,4,0,1,1,7,0,0,2,0,0,0,1,0,0,0,0,0,0
Lowland Tarahumara,0,2,3,1,82,0,0,0,0,0,0,20,0,0,0,1,1,0,5,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,2,0
Orejón,0,1,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kandawo,0,1,2,0,13,0,1,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gowlan,0,8,34,0,522,0,0,0,0,0,0,8,0,0,0,0,3,1,39,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0
Sampang,0,1,5,1,14,0,1,0,0,0,0,7,0,0,1,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
Slovak,0,7,17,1,107,0,1,0,0,0,0,38,0,0,0,2,0,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0
Malayo,0,2,3,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Garifuna,0,2,4,0,57,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0
Keapara,0,2,0,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Leco,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asho Chin,0,5,4,0,30,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wambule,0,3,24,5,94,0,1,0,0,0,0,65,0,0,0,2,6,1,8,0,1,0,5,0,0,7,0,0,0,0,0,0,0,0,2,0
Dhivehi,0,1,8,4,134,0,1,0,0,0,0,50,0,0,0,0,4,1,0,0,0,4,167,1,0,66,0,0,0,0,0,1,0,0,1,2
Newari,0,4,18,1,38,0,1,0,0,0,0,44,0,0,0,0,9,0,16,0,1,0,4,0,0,11,0,0,0,0,0,0,0,0,1,0
Arabela,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nyankole,0,1,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladakhi,0,5,9,2,31,0,2,0,0,0,0,38,0,0,0,1,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keley-I Kallahan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabu,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Abun,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamba (Kenya),0,2,19,0,138,0,1,0,0,1,0,36,0,0,0,9,5,0,7,0,1,0,11,1,0,15,0,0,0,0,0,1,0,0,0,0
Ambulas,0,3,1,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Emberá-Catío,0,3,0,0,25,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikeno,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tabasco Chontal,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawro,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Western Tlacolula Valley Zapotec,0,1,0,0,9,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Garo,0,4,11,1,42,0,0,0,0,0,0,266,0,0,1,3,1,1,4,0,3,0,2,2,0,4,0,0,0,0,0,3,0,0,0,0
Northern Pumi,0,1,2,0,20,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaulong,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanjari,0,9,0,0,133,0,0,0,0,0,0,0,0,0,0,5,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Khoibu Naga,0,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sanumá,0,2,2,0,48,0,1,0,0,0,0,2,0,0,2,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Southern Sotho,0,1,6,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruching Palaung,0,4,3,2,32,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Andaman Creole Hindi,0,6,1,0,62,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shan,0,2,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sylheti,0,5,62,23,150,0,14,0,0,0,0,3772,0,0,1,3,0,3,26,0,0,0,5,22,0,2,0,0,0,0,0,0,0,0,0,0
Swahili (individual language),0,12,36,0,257,0,1,0,0,0,0,56,0,0,3,3,2,2,4,0,4,1,15,3,0,40,0,0,0,0,0,1,0,0,0,0
Maskelynes,0,1,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Manx,0,3,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Irula,0,2,3,2,51,0,1,0,0,0,0,4,0,0,1,1,1,0,2,0,0,41,1189,0,2,186,0,0,0,123,0,0,0,0,3,0
Blang,0,2,8,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dazaga,0,5,24,1,136,0,2,0,0,0,0,24,0,2,2,1,12,0,2,0,0,1,79,1,0,16,1,0,0,0,0,1,0,0,2,2
Apali,0,3,1,0,20,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Vicente Coatlán Zapotec,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Napo Lowland Quechua,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basque,0,2,10,4,80,0,0,0,0,0,0,55,0,0,1,7,1,0,10,0,1,1,22,0,0,14,0,0,0,0,0,1,0,0,0,0
Tsakhur,0,2,11,0,33,0,0,0,0,0,0,23,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbore,0,1,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
Bola,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourgish,0,2,0,0,20,0,0,0,0,0,0,10,0,0,1,0,0,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Jalapa De Díaz Mazatec,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ringgou,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Paumarí,0,2,11,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1
Awa-Cuaiquer,0,2,4,1,29,0,0,0,0,0,0,4,0,0,0,1,0,1,4,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
Mandar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Magar,0,3,0,1,10,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakha Chin,0,2,6,0,18,0,0,0,0,0,0,3,0,0,0,2,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dolpo,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bislama,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wantoat,0,1,5,1,41,0,0,0,0,0,0,6,0,0,1,1,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Tagin,0,6,8,1,53,0,3,0,0,0,0,37,0,0,4,1,2,0,4,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0
Mbay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kachi Koli,0,2,2,1,42,0,0,0,0,0,0,6,0,2,0,3,2,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Southern Birifor,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salar,0,2,1,0,16,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uma' Lung,0,1,0,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quiotepec Chinantec,0,1,1,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavião Do Jiparaná,0,2,0,0,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Kurdish,0,5,16,0,200,0,0,0,0,0,0,13,0,0,0,5,2,4,3,0,1,1,3,1,0,2,0,0,0,0,0,0,0,0,1,0
Southern Tiwa,0,1,6,0,143,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0
Sinaugoro,0,1,1,0,10,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hani,0,4,8,4,53,0,0,0,0,0,0,42,0,0,0,1,2,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
Lalana Chinantec,0,1,3,0,26,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chepang,0,2,3,0,16,0,2,0,0,0,0,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonian,0,2,17,0,17,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,1,4,18,0,0,16,0,0,0,0,0,0,0,0,0,0
Central Malay,0,1,17,0,48,0,1,0,0,0,0,11,0,0,0,1,0,0,2,0,1,0,5,1,0,2,0,0,0,0,0,1,0,0,0,1
Jad,0,2,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Jarai,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngombe (Democratic Republic of Congo),0,1,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirahã,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemsa,0,1,1,0,12,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thado Chin,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Polish,0,3,3,0,20,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Guinea Kpelle,0,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plains Cree,0,1,6,0,48,0,0,0,0,0,0,7,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Kisar,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauri Bareli,0,2,0,0,6,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Highland Chatino,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havasupai-Walapai-Yavapai,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dobel,0,2,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Khaling,0,1,1,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninam,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvian,0,1,3,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
Tsonga,0,1,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tagalog,0,2,150,2,334,0,6,0,0,0,1,37,0,0,1,5,12,2,9,0,2,4,25,0,0,98,0,0,0,0,0,1,0,0,5,3
Dzongkha,0,1,1,1,14,0,0,0,0,0,0,14,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Krung,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hatam,0,3,0,0,18,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Blas Kuna,0,4,3,0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
Northern Kurdish,0,4,3,0,127,0,0,0,0,0,0,9,0,0,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Crow,0,1,0,0,19,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mato,0,1,3,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ǁGana,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camling,0,2,5,0,21,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogosé,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanauji,0,1,0,0,107,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakairí,0,1,2,1,26,0,0,0,0,0,0,2,0,0,0,0,4,0,6,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
Yanomamö,0,1,2,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rejang,0,2,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Awyu,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coyutla Totonac,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwestern Ojibwa,0,1,0,0,23,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mískito,0,2,15,0,81,0,0,0,0,0,0,1,0,0,1,1,2,0,5,0,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0
Yue Chinese,0,1,3,0,13,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Danish,0,3,11,0,113,0,0,0,0,0,0,27,0,0,0,9,1,1,4,0,2,0,3,0,0,16,0,0,0,0,0,1,0,0,2,0
Urarina,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tzotzil,0,1,4,0,43,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kimré,0,2,1,0,11,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huallaga Huánuco Quechua,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varli,0,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodo (India),0,8,12,1,66,0,4,0,0,0,0,41,0,0,1,0,2,0,10,0,2,0,2,2,0,3,0,0,0,0,0,1,0,0,0,1
Amarasi,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ebira,0,1,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wedau,0,1,2,0,12,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mapudungun,0,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Pakaásnovos,0,1,5,0,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhattiyali,0,3,13,2,640,0,7,0,0,0,0,10,0,0,0,10,199,1,2,0,0,0,10,0,0,4,25,0,0,0,0,0,0,0,1,1
Dhao,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Iraqw,0,1,3,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yosondúa Mixtec,0,1,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Aari,0,1,4,0,49,0,0,0,0,0,0,18,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Xavánte,0,1,3,0,50,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,2
Nateni,0,1,1,0,21,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Maria (India),0,5,5,2,35,0,13,0,0,0,0,15,0,0,8,1,1,0,9,0,0,1,2,0,0,25,0,0,5,0,0,0,0,0,0,5
Termanu,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bete-Bendi,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maay,0,2,2,4,70,0,0,0,0,0,0,5,0,0,1,1,2,0,4,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,1
Nias,0,2,15,4,22,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0
Malawi Sena,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tshangla,0,2,5,0,8,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Chittagonian,0,1,22,1,40,0,1,0,0,0,0,1662,0,0,0,0,0,0,8,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0
Toro So Dogon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi Lomwe,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kija,0,1,0,1,14,0,0,0,0,0,0,4,0,0,2,0,0,0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Waata,0,1,6,0,34,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
Ayoreo,0,2,10,0,327,0,0,0,0,0,0,14,0,0,0,4,0,0,1,0,1,0,2,1,0,2,0,0,0,1,0,0,0,0,3,0
Umbundu,0,1,1,0,4,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lushai,0,2,3,0,25,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1
Tombonuo,0,2,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaagri Booli,0,2,1,2,16,0,8,0,0,0,0,10,0,0,0,0,4,0,4,0,1,0,20,0,0,18,0,0,0,0,0,0,0,0,0,0
Korowai,0,1,1,4,19,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Azhe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbian,0,1,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
Sa'a,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peñoles Mixtec,0,1,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Wakhi,0,3,2,0,24,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
Igbo,0,1,5,0,31,0,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xhosa,0,3,15,1,80,0,0,0,0,0,0,34,0,0,0,7,0,0,5,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0
Kahua,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daasanach,0,1,1,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ntcham,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kachin,0,1,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lingala,0,2,48,1,71,0,0,0,0,0,0,41,0,0,0,4,1,0,5,0,1,0,16,0,0,28,0,0,0,1,0,0,0,0,1,1
Nhengatu,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
