,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Kangri,1,11,6,0,652,0,1,1,0,0,0,13,0,3,0,9,170,0,12,0,5,0,3,2,0,4,54,0,0,0,0,0,0,0,3,1
Mai Brat,2,0,3,1,34,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryanvi,3,35,11,2,2648,0,0,0,0,0,0,22,0,4,1,38,20,0,35,0,2,0,5,5,0,3,24,0,0,0,0,0,0,0,16,3
Ghera,7,136,96,21,8852,1,10,0,0,0,0,59,0,8,0,94,29,60,269,0,61,0,13,12,0,17,13,0,0,0,0,0,0,0,49,21
Mewati,3,3,2,1,116,0,0,0,0,0,0,8,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gurung,1,116,317,55,370,0,29,0,0,0,0,133,0,0,23,9,63,2,114,0,23,0,23,1,0,47,6,0,2,0,0,0,0,0,2,0
Vietnamese,3,9,46,0,213,0,2,0,0,0,0,38,0,0,1,6,2,1,5,0,1,0,5,0,0,29,0,0,0,0,0,0,0,0,2,0
Lao,4,33,147,16,513,0,7,0,0,0,0,66,0,0,5,15,13,3,16,0,5,1,8,2,0,34,0,0,0,0,0,2,0,0,8,1
Hlai,3,8,35,1,183,0,1,0,0,0,0,13,0,0,0,2,4,3,2,0,3,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0
Iyo,3,2,4,0,107,0,0,0,0,0,0,31,0,0,0,4,2,3,1,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0
Lodhi,3,32,5,8,142,0,1,0,0,0,0,133,0,0,0,12,1,0,44,0,3,0,0,10,0,2,0,0,0,0,0,0,0,0,1,1
Northern Paiute,1,4,17,2,238,0,0,0,0,0,0,66,0,0,1,4,1,3,10,0,0,0,11,2,0,7,0,0,0,0,0,0,0,0,2,1
Waray (Philippines),1,9,57,1,359,0,1,0,0,1,0,51,0,0,0,2,3,2,6,0,0,0,18,2,0,89,0,0,0,0,0,0,0,0,5,4
Hajong,5,104,49,198,271,0,20,0,1,0,0,2530,0,0,18,30,16,0,290,0,10,0,3,7,0,1,0,0,1,0,0,0,0,1,0,0
Achang,1,4,6,2,98,0,0,0,0,0,0,24,0,0,0,0,1,0,17,0,2,0,9,0,0,8,0,0,0,0,0,0,0,0,1,0
Mahali,1,3,6,3,48,0,2,0,0,0,0,120,0,0,2,1,0,0,3,0,1,0,0,11,0,0,0,0,0,0,0,2,0,0,1,3
Byangsi,2,106,115,77,233,0,21,0,2,0,0,131,0,0,5,6,77,2,58,0,23,1,27,0,0,26,2,0,0,0,0,0,0,0,2,5
Esperanto,3,41,70,1,411,0,1,0,0,0,0,149,0,0,0,29,4,0,10,0,10,2,24,1,0,60,0,0,1,0,0,0,0,0,6,0
Northern Emberá,1,9,13,0,364,0,2,0,0,0,0,18,0,0,6,4,5,1,36,0,0,1,10,2,0,6,1,0,1,0,0,1,0,0,0,0
Batad Ifugao,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tedim Chin,2,2,3,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chicahuaxtla Triqui,2,2,1,0,74,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
